"Day","Hour","Metro","When","Rank","Daylight"
"Thanksgiving","3:00 AM","Atlanta","b","b",FALSE
"Wednesday","2:00 AM","Boston","b","b",FALSE
"Thanksgiving","3:00 AM","Charlotte","b","b",FALSE
"Wednesday","2:00 AM","Chicago","b","b",FALSE
"Thanksgiving","4:00 AM","Cleveland","b","b",FALSE
"Thanksgiving","3:00 AM","Dallas","b","b",FALSE
"Wednesday","2:00 AM","Denver","b","b",FALSE
"Wednesday","2:00 AM","Detroit","b","b",FALSE
"Thanksgiving","3:00 AM","Houston","b","b",FALSE
"Wednesday","2:00 AM","Los Angeles","b","b",FALSE
"Wednesday","2:00 AM","Miami","b","b",FALSE
"Wednesday","2:00 AM","Minneapolis","b","b",FALSE
"Wednesday","2:00 AM","New York","b","b",FALSE
"Wednesday","2:00 AM","Orlando","b","b",FALSE
"Wednesday","2:00 AM","Philadelphia","b","b",FALSE
"Wednesday","2:00 AM","Phoenix","b","b",FALSE
"Thanksgiving","4:00 AM","Pittsburgh","b","b",FALSE
"Wednesday","2:00 AM","Portland","b","b",FALSE
"Wednesday","2:00 AM","Raleigh","b","b",FALSE
"Wednesday","2:00 AM","Sacramento","b","b",FALSE
"Wednesday","2:00 AM","San Francisco","b","b",FALSE
"Thanksgiving","3:00 AM","Seattle","b","b",FALSE
"Wednesday","2:00 AM","St. Louis","b","b",FALSE
"Wednesday","2:00 AM","Tampa","b","b",FALSE
"Wednesday","2:00 AM","Washington DC","b","b",FALSE
"Thanksgiving","6:00 AM","Atlanta","b","b",TRUE
"Thanksgiving","6:00 AM","Boston","b","b",TRUE
"Thanksgiving","6:00 AM","Charlotte","b","b",TRUE
"Thanksgiving","6:00 AM","Chicago","b","b",TRUE
"Thanksgiving","6:00 AM","Cleveland","b","b",TRUE
"Thanksgiving","6:00 AM","Dallas","b","b",TRUE
"Thanksgiving","6:00 AM","Denver","b","b",TRUE
"Thanksgiving","6:00 AM","Detroit","b","b",TRUE
