"city","category","location","rank"
"Philadelphia","restaurants","Double Knot ",1
"Philadelphia","restaurants","Umai Umai ",2
"Philadelphia","restaurants","Yamitsuki ",3
"Cleveland","restaurants","ABC the Tavern ",1
"Cleveland","restaurants","Angie's Soul Cafe ",2
"Cleveland","restaurants","Cibreo Italian Kitchen",3
"Detroit","restaurants","Duly's Place Coney Island ",1
"Detroit","restaurants","Basement Burger Bar",2
"Detroit","restaurants","Rock City Eatery ",3
"Raleigh","restaurants","City Barbeque & Catering",1
"Raleigh","restaurants","Margaux's Restaurant ",2
"Raleigh","restaurants","Vidrio ",3
"Washington D.C.","restaurants","Sababa ",1
"Washington D.C.","restaurants","CAVA ",2
"Washington D.C.","restaurants","Alfa PieHouse ",3
"Minneapolis","restaurants","The Patty Wagon",1
"Minneapolis","restaurants","Gyropolis",2
"Minneapolis","restaurants","Hoban Korean BBQ",3
"Sacramento","restaurants","The Firehouse restaurant ",1
"Sacramento","restaurants","Foundation Restaurant & Bar ",2
"Sacramento","restaurants","Goldfield Trading Post ",3
"St. Louis","restaurants","Lorenzo's Trattoria ",1
"St. Louis","restaurants","Pho Long Restaurant ",2
"St. Louis","restaurants","Gringo Tacos + Burgers ",3
"Phoenix","restaurants","Taco Guild ",1
"Phoenix","restaurants","Pizza People Pub",2
"Phoenix","restaurants","Cherryblossom Noodle cafe",3
"Tampa","restaurants","Bulla Gastrobar ",1
"Tampa","restaurants","Charley’s Steak House ",2
"Tampa","restaurants","Steelbach ",3
"Chicago","restaurants","Fern ",1
"Chicago","restaurants","Hawthorne's NY Pizza & Bar Ballantyne",2
"Chicago","restaurants","Zablong ",3
"Pittsburgh","restaurants","Arsenal Cider House & Wine Cellar",1
"Pittsburgh","restaurants","Hal’s Bar & Grill ",2
"Pittsburgh","restaurants","Savoy Restaurant ",3
"Denver","restaurants","Giordano's ",1
"Denver","restaurants","Tocabe ",2
"Denver","restaurants","Buchi Cafe Cubano ",3
"Miami","restaurants","NAOE ",1
"Miami","restaurants","Barsecco ",2
"Miami","restaurants","Miyako Doral Japanese Restaurant & Sushi Bar",3
"Charlotte","restaurants","Fern ",1
"Charlotte","restaurants","Hawthorne's New York Pizza & Bar Ballantyne",2
"Charlotte","restaurants","Zablong ",3
"Houston","restaurants","Flying Saucer Pie Company ",1
